ID,primaryTitle,startYear,averageRating,numVotes,tconst
0,The Shawshank Redemption,1994,9.3,3090318,tt0111161
1,The Godfather,1972,9.2,2154590,tt0068646
2,The Dark Knight,2008,9.1,3065674,tt0468569
3,The Lord of the Rings: The Return of the King,2003,9.0,2102794,tt0167260
4,Schindler's List,1993,9.0,1542434,tt0108052
5,The Godfather Part II,1974,9.0,1448595,tt0071562
6,12 Angry Men,1957,9.0,945404,tt0050083
7,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2135707,tt0120737
8,Inception,2010,8.8,2723169,tt1375666
9,Fight Club,1999,8.8,2507116,tt0137523
10,Forrest Gump,1994,8.8,2413390,tt0109830
11,Pulp Fiction,1994,8.8,2364225,tt0110912
12,The Lord of the Rings: The Two Towers,2002,8.8,1896905,tt0167261
13,"The Good, the Bad and the Ugly",1966,8.8,866137,tt0060196
14,Interstellar,2014,8.7,2396301,tt0816692
15,The Matrix,1999,8.7,2182202,tt0133093
16,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1462369,tt0080684
17,Goodfellas,1990,8.7,1345391,tt0099685
18,One Flew Over the Cuckoo's Nest,1975,8.7,1129287,tt0073486
19,Se7en,1995,8.6,1942845,tt0114369
20,The Silence of the Lambs,1991,8.6,1658663,tt0102926
21,Saving Private Ryan,1998,8.6,1589508,tt0120815
22,Star Wars: Episode IV - A New Hope,1977,8.6,1528964,tt0076759
23,The Green Mile,1999,8.6,1507463,tt0120689
24,Terminator 2: Judgment Day,1991,8.6,1248285,tt0103064
25,Spirited Away,2001,8.6,927697,tt0245429
26,City of God,2002,8.6,847399,tt0317248
27,Life Is Beautiful,1997,8.6,788316,tt0118799
28,Django Unchained,2012,8.5,1817245,tt1853728
29,Gladiator,2000,8.5,1788812,tt0172495
30,The Prestige,2006,8.5,1536504,tt0482571
31,The Departed,2006,8.5,1507677,tt0407887
32,Back to the Future,1985,8.5,1398503,tt0088763
33,Léon: The Professional,1994,8.5,1316864,tt0110413
34,American History X,1998,8.5,1243135,tt0120586
35,The Lion King,1994,8.5,1219360,tt0110357
36,The Usual Suspects,1995,8.5,1203053,tt0114814
37,Whiplash,2014,8.5,1095518,tt2582802
38,Parasite,2019,8.5,1094263,tt6751668
39,Alien,1979,8.5,1030594,tt0078748
40,The Intouchables,2011,8.5,991765,tt1675434
41,The Pianist,2002,8.5,981256,tt0253474
42,Psycho,1960,8.5,761657,tt0054215
43,Dune: Part Two,2024,8.5,660794,tt15239678
44,Casablanca,1942,8.5,638795,tt0034583
45,It's a Wonderful Life,1946,8.6,533394,tt0038650
46,Seven Samurai,1954,8.6,389839,tt0047478
47,Jai Bhim,2021,8.6,228905,tt15097216
48,12th Fail,2023,8.7,154982,tt23849204
49,The Chaos Class,1975,9.2,44934,tt0252487
50,The Dark Knight Rises,2012,8.4,1937423,tt1345836
51,Inglourious Basterds,2009,8.4,1712026,tt0361748
52,Memento,2000,8.4,1395591,tt0209144
53,Avengers: Endgame,2019,8.4,1383972,tt4154796
54,Avengers: Infinity War,2018,8.4,1313864,tt4154756
55,WALL·E,2008,8.4,1278125,tt0910970
56,The Shining,1980,8.4,1182153,tt0081505
57,Raiders of the Lost Ark,1981,8.4,1085531,tt0082971
58,Aliens,1986,8.4,818153,tt0090605
59,Apocalypse Now,1979,8.4,750326,tt0078788
60,Spider-Man: Into the Spider-Verse,2018,8.4,748793,tt4633694
61,Coco,2017,8.4,665878,tt2380307
62,The Kashmir Files,2022,8.5,576964,tt10811166
63,Rear Window,1954,8.5,553751,tt0047396
64,Spider-Man: Across the Spider-Verse,2023,8.5,476928,tt9362722
65,Once Upon a Time in the West,1968,8.5,373162,tt0064116
66,Grave of the Fireflies,1988,8.5,359780,tt0095327
67,Cinema Paradiso,1988,8.5,305859,tt0095765
68,Modern Times,1936,8.5,276347,tt0027977
69,City Lights,1931,8.5,209305,tt0021749
70,Soorarai Pottru,2020,8.6,129178,tt10189514
71,Joker,2019,8.3,1635632,tt7286456
72,American Beauty,1999,8.3,1258740,tt0169547
73,Up,2009,8.3,1198591,tt1049413
74,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1179262,tt0086190
75,Good Will Hunting,1997,8.3,1156643,tt0119217
76,Eternal Sunshine of the Spotless Mind,2004,8.3,1150458,tt0338013
77,Reservoir Dogs,1992,8.3,1144212,tt0105236
78,Braveheart,1995,8.3,1139120,tt0112573
79,Toy Story,1995,8.3,1137745,tt0114709
80,Scarface,1983,8.3,981724,tt0086250
81,Requiem for a Dream,2000,8.3,949273,tt0180093
82,Toy Story 3,2010,8.3,943049,tt0435761
83,Oppenheimer,2023,8.3,931171,tt15398776
84,Amélie,2001,8.3,824654,tt0211915
85,Heat,1995,8.3,771272,tt0113277
86,2001: A Space Odyssey,1968,8.3,762240,tt0062622
87,Oldboy,2003,8.3,691187,tt0364569
88,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,542426,tt0057012
89,3 Idiots,2009,8.4,466182,tt1187043
90,Amadeus,1984,8.4,453836,tt0086879
91,The Lives of Others,2006,8.4,431857,tt0405094
92,Your Name.,2016,8.4,368035,tt5311514
93,Das Boot,1981,8.4,281734,tt0082096
94,Sunset Boulevard,1950,8.4,251990,tt0043014
95,The Great Dictator,1940,8.4,251343,tt0032553
96,Paths of Glory,1957,8.4,229524,tt0050825
97,Harakiri,1962,8.6,82535,tt0056058
98,Mahavatar Narsimha,2024,9.1,33273,tt34365591
99,The Wolf of Wall Street,2013,8.2,1714581,tt0993846
100,Batman Begins,2005,8.2,1666991,tt0372784
101,Shutter Island,2010,8.2,1575608,tt1130884
102,The Truman Show,1998,8.2,1310285,tt0120382
103,Kill Bill: Vol. 1,2003,8.2,1265437,tt0266697
104,Finding Nemo,2003,8.2,1174250,tt0266543
105,No Country for Old Men,2007,8.2,1143194,tt0477348
106,Jurassic Park,1993,8.2,1141477,tt0107290
107,The Sixth Sense,1999,8.2,1111942,tt0167404
108,A Beautiful Mind,2001,8.2,1031430,tt0268978
109,Die Hard,1988,8.2,999466,tt0095016
110,Taxi Driver,1976,8.2,993302,tt0075314
111,Spider-Man: No Way Home,2021,8.2,973480,tt10872600
112,Snatch,2000,8.2,955089,tt0208092
113,A Clockwork Orange,1971,8.2,919279,tt0066921
114,Prisoners,2013,8.2,890479,tt1392214
115,Indiana Jones and the Last Crusade,1989,8.2,846553,tt0097576
116,Full Metal Jacket,1987,8.2,831222,tt0093058
117,Top Gun: Maverick,2022,8.2,799926,tt1745960
118,1917,2019,8.2,741219,tt8579674
